locale|uk_UA
SYSTEM_AUX_MPD_2000_SPECS|Енергоспоживання : 300 MW \nТеплоспоживання: 4 GW \nПотужність (номінальна): 2,000 MW \nЧас прогріву: 15 с \nМаса: 16,660 kg \nТип: MPDG з рекуперативною турбінною установкою \nВиробник: Mars Power Industries

HUD_HOLD_CAP|загальна місткість обр. вантажу

HUD_HOLD_FILL|рівень заповнення трюму


SYSTEM_AUTOPILOT_337MOD|Автопілот MA-337-MAX

SYSTEM_AUTOPILOT_337MOD_DESC|MAX - це програмне оновлення для автопілота MA-337, яке інтегрує вектори керування fly-by-wire в його нейронну мережу.

SYSTEM_AUTOPILOT_337MOD_SPECS|Розробник: Mitsudaya-Starbus \nМожливості: Antipodal Reaction Limiter \nAdaptive Angular Thrust \nFly-By-Wire \nLIDAR-оверлей

SYSTEM_AUTOPILOT_337MOD_MANUAL|Відображає круг LIDAR навколо вашого корабля. \nARL: Вимикає протилежні двигуни, заощаджуючи паливо. \nFBW: Направляє всі ручні введення двигуна через автопілот. \nМоже ефективно використовувати рухомі двигуни. \nAAT: Спостерігає за зміною маси вантажу та пошкодженням двигуна, щоб обчислити мінімальну тягу, необхідну для маневру. \nПерезавантажте бортовий комп'ютер, щоб очистити дані адаптації.

SLOT_CARGOBAY_MOD|Набори для утримання мінералів



SYSTEM_CARGO_MOD_2K|SSE Saddlebags

SYSTEM_CARGO_MOD_2K_DESC|Базовий набір модулів розширення від Sin Space Engineering, що пропонує незначне збільшення простору вантажного трюму. Застереження: використання неліцензійного обладнання може призвести до анулювання гарантії на ваше судно.

SYSTEM_CARGO_MOD_2K_SPECS|Місткість переробленого вантажу: 2,000 кг / мінерал (12,000 кг total) \nСумісність: Розділений і Динамічний \nМаса: 1,000 кг \nВиробник: Sin Space Engineering


SYSTEM_CARGO_MOD_4K|E-Prime Hold Rejoin

SYSTEM_CARGO_MOD_4K_DESC|Замовлення на розширення трюму для оброблених вантажів вашого судна, люб'язно надане місцевою верф'ю. Встановлення супроводжується гарантією повернення грошей, спеціальним додатком до гарантії та повною перевіркою цілісності конструкції для вашого душевного спокою. Літайте безпечно!

SYSTEM_CARGO_MOD_4K_SPECS|Місткість переробленого вантажу: 4,000 кг / мінерал (24,000 кг total) \nСумісність: Розділений і Динамічний \nМаса: 2,000 кг \nВиробник: N/A


SYSTEM_CARGO_MOD_6K|Conlido freightReady Hoppers

SYSTEM_CARGO_MOD_6K_DESC|Набір вбудованих в корпус мінеральних контейнерів, що реалізують запатентовану технологію Never-Void для забезпечення повного використання усього доступного простору. Ідуть з додатком до гарантії. Цей продукт був протестований РЕАЛЬНИМИ шахтарями, які виконують РЕАЛЬНУ роботу в РЕАЛЬНИХ КОСМІЧНИХ УМОВАХ! \n\nПримітка: судна з установками, встановленими пізніше 2237 року, не можуть претендувати на компенсацію за виробничу травму, пов'язану з експлуатацією / обслуговуванням / установкою / зняттям / використанням або візуальним / слуховим / смаковим / нюховим / фізичним / розумовим контактом з бункерами Conlido freightReady Hoppers. Ознайомтеся з належними експлуатаційними процедурами для себе та колег, перш ніж виконувати обов'язки, пов'язані з використанням бункерів Conlido freightReady Hoppers.

SYSTEM_CARGO_MOD_6K_SPECS|Місткість переробленого вантажу: 6,000 кг / мінерал (36,000 кг total) \nСумісність: Розділений і Динамічний \nМаса: 3,500 кг \nВиробник: Conlido RVM


SYSTEM_CARGO_MOD_BOTH_MANUAL|Для правильного використання потрібна Установка Переробки Мінералів. \nПасивно збільшує об'єм переробленого вантажу на борту.



SYSTEM_CARGO_MOD_BOLTS|Фіксуючий болт

SYSTEM_CARGO_MOD_BOLTS_DESC|Асортимент стандартних фіксуючих болтів для суден зі змінною геометрією трюмів, які встановлюються у відповідні точки кріплення

SYSTEM_CARGO_MOD_BOLTS_SPECS|Тип конвертації: Динамічний до Розділеного \nКоефіцієнт конвертації: 1:1 (без зменшення)

SYSTEM_CARGO_MOD_BOLTS_MANUAL|Перетворює об'єм зберігання мінералів на Розділений. \nРозділені ділянки діляться порівну на шості частини від загальної комбінованої ємності. \nНе потребує енергії або тепла реактора.



SYSTEM_CARGO_MOD_AMORPH4|Conlido aMorphIV

SYSTEM_CARGO_MOD_AMORPH4_DESC|Хоча експериментальна геометрія трюму Cothon-217 мала обмежений успіх, компанія Conlido RVM все ще була зацікавлена в цій концепції. Були укладені угоди між виробниками кораблів для проведення випробувань, і незважаючи на невдалий старт і пропущені крайні терміни, набір для конверсії трюма aMorphIV від Conlido увійшов на ринок. \n\nЙого модульні частини можуть бути модернізовані для всіх суднових систем, які зараз доступні на ринку, і він використовує ті ж самі фундаментальні принципи, що і судно, на якому він був створений.

SYSTEM_CARGO_MOD_AMORPH4_SPECS|Тип конвертації: Розділений до Динамічного \nКоефіцієнт конвертації: 6:4 (33% зменшення) \nМаса: 1,500 кг \nВиробник: Conlido RVM


SYSTEM_CARGO_MOD_AMORPH5|THI MD-5

SYSTEM_CARGO_MOD_AMORPH5_DESC|Набір для конверсії трюма Titan Heavy Industries MD-5 добре відомий серед інженерів суднобудівних верфей завдяки своїм внутрішнім об'ємам, що згортаються у формі гармошки. З досвіду попередніх реалізацій було враховано уроки, і в результаті обладнання займає набагато менше місця в трюмі, але його компактні лінійні приводи і точна збірка призводять до високої початкової ціни.

SYSTEM_CARGO_MOD_AMORPH5_SPECS|Тип конвертації: Розділений до Динамічного \nКоефіцієнт конвертації: 6:5 (17% зменшення) \nМаса: 2,500 кг \nВиробник: Titan Heavy Industries


SYSTEM_CARGO_MOD_AMORPH6|NDSBH

SYSTEM_CARGO_MOD_AMORPH6_DESC|М'який тримач від Nakamura Dynamics - це є найкращім набіром для динамічної конверсії розділених тримачів, який видаляє стандартні розділові перегородки і замінює їх простою, але ефективною системою рулонних  перегородок,  яка виготовляється на замовлення відповідно до специфікацій корабля. Стиснене повітря використовується для створення безтертної подушки під час руху перегородок, а комп'ютер керує та передбачає майбутні зміни геометрії через пряме з'єднання з процесорним блоком вантажного відсіку та мікросейсмічною системою зображення.

SYSTEM_CARGO_MOD_AMORPH6_SPECS|Тип конвертації: Розділений до Динамічного \nКоефіцієнт конвертації: 1:1 (без зменшення) \nМаса: 3,750 кг \nВиробник: Nakamura Dynamics


SYSTEM_CARGO_MOD_AMORPH_MANUAL|Для правильного використання потрібна Установка Переробки Мінералів. \nПеретворює об'єм зберігання мінералів на Динамічний. \nЗбільшує або зменшує загальний об'єм зберігання відповідно до коефіцієнта перетворення. Відсоток вказаний у характеристиках. \nНе потребує енергії або тепла реактора.

SYSTEM_CARGO_AUX_STORAGE_4K|Внутрішня стелажна система Conlido

SYSTEM_CARGO_AUX_STORAGE_4K_DESC|Внутрішня стелажна система Conlido RVMвипробувана шахтарями в астероїдному поясі протягом початку 22 століття, - це відносно проста концепція зі складним виконанням. Цей модульний комплект для модернізації дозволяє приєднувати існуючі блоки до ліній обробки матеріалів на більшості великих суден, доступних на ринку у кільці.

SYSTEM_CARGO_AUX_STORAGE_4K_SPECS|Місткість переробленого вантажу: 4,000 кг / мінерал (всього 24,000 кг) \nМаса: 3,000 кг \nВиробник: Conlido RVM

SYSTEM_CARGO_AUX_STORAGE_MANUAL|Для правильного використання потрібна Установка Переробки Мінералів. \nПасивно збільшує об'єм переробленого вантажу на борту. \nPПерероблена руда зберігається в окремих контейнерах, місткість яких обмежена типом мінералу.\nНе потребує енергії або тепла реактора.


SYSTEM_CARGO_AUX_STORPROC_8K|Модуль мінерального бака THI

SYSTEM_CARGO_AUX_STORPROC_8K_DESC|Внутрішнє рішення для зберігання від Titan Heavy Industries є настільки ж експериментальним, наскільки й новим. Використовуючи тепло реактора від радіаторів судна, оброблені матеріали можуть зберігатися у рідкому стані на невизначений час, збільшуючи ефективність зберігання до 20%. \n\nДеякі шахтарі почали використовувати цей блок як елементарний попередній процесор руди, оскільки відносно тонка ізоляція виділяє тепло в простір між баками. THI не схвалює і не рекомендує використання цього модуля таким чином.

SYSTEM_CARGO_AUX_STORPROC_8K_SPECS|Місткість переробленого вантажу: 8,000кг / мінерал (всього 48,000 кг) \nШвидкість плавлення льоду: 5 кг/c \nЕнергоспоживання : 250 KW / шматок (теплові втрати) \nЕфективність переробки рабочої маси: 10% \nМаса: 8,000 кг \nВиробник: Titan Heavy Industries

SYSTEM_CARGO_AUX_STORPROC_MANUAL|Для правильного використання потрібна Установка Переробки Мінералів. \nПасивно збільшує об'єм переробленого вантажу на борту. \nПерероблена руда зберігається в окремих контейнерах, місткість яких обмежена типом мінералу. \nЗменшує масу льоду в шматках на малій площі. \nЗаймає місце у вантажному відсіку.



SYSTEM_CARGO_AUX_STORAGE_12K|MPI Roving Silo

SYSTEM_CARGO_AUX_STORAGE_12K_DESC|The MPI Roving Silo is by far the largest 

SYSTEM_CARGO_AUX_PREPROC_0x30|Rasamama RP-25

SYSTEM_CARGO_AUX_PREPROC_0x30_DESC|Rasamama Material Solutions RP-25 - це низькопрофільний попередній переробник руди, призначений виключно для розтоплення льоду з мінеральних шматків у вантажному відсіку судна і не більше того. Установка підключається до лінії скида турбіни реактора для отримання теплової енергії і потребує дуже мало електричної енергії для роботи. \n\nВідновлення рабочої маси відбувається шляхом проходження технологічних вихлопів через конденсаторно-радіаторну панель, змонтовану на корпусі судна. Rasamama MS рекомендує проводити щомісячні тести на прохідність з подальшою продувкою гарячим газом для запобігання утворенню відкладень.

SYSTEM_CARGO_AUX_PREPROC_0x30_SPECS|Швидкість плавлення льоду: 10 кг/c \nЕнергоспоживання : 25 KW / шматок \nБонус ефективності переробки мінералів УПМ: x100% (без змін) \nЕфективність переробки рабочої маси: 30% \nМаса: 750 кг \nВиробник: Rasamama Material Solutions



SYSTEM_CARGO_AUX_PREPROC_20x10|Nakamura Big MT

SYSTEM_CARGO_AUX_PREPROC_20x10_DESC|Попередній переробник руди Big MT від Nakamura Dynamics використовує фундаментальні принципи своєї роботи на користь переробки шматків руди. Вільна пара у вантажному відсіку перегрівається масивним тороїдальним радіатором, швидко сублімуючи лід і попередньо нагріваючи отримані металеві частинки для більш ефективної обробки. \n\nХоча частина технологічної пари може бути використана як паливо, компактний конденсатор установки часто перевантажений через великий об'єм і високі температури. \n\nЗастереження: жоден Лоботоміт не постраждав при розробці цієї установки.

SYSTEM_CARGO_AUX_PREPROC_20x10_SPECS|Швидкість плавлення льоду: 25 кг/c \nЕнергоспоживання : 125 KW / шматок \nБонус ефективності переробки мінералів УПМ: x120% \nЕфективність переробки рабочої маси: 10% \nМаса: 2,000 кг \nВиробник: Nakamura Dynamics



SYSTEM_CARGO_AUX_PREPROC_40x20|Rusatom-Antonoff MPP-N1

SYSTEM_CARGO_AUX_PREPROC_40x20_DESC|Одне з найкращих рішень для попередньої переробки руди на ринку, MPP-N1 забезпечує чудове підвищення ефективності та відновлення рабочої маси, за допомогою магнітогідродинамічної системи. \n\nУстановка використовує вихлопні гази реакторної установки як джерело тепла, випромінюючи його у трюм через купол у центрі. Електромагнітні котушки, що оточують купол, контролюють температуру за допомогою індуктивного нагріву. \n\nТехнологічна пара і мікроелементи уловлюються конденсатором з перегородкою. Для забезпечення максимальної ефективності рекомендується заміна конденсатора після 320 годин експлуатації.

SYSTEM_CARGO_AUX_PREPROC_40x20_SPECS|Швидкість плавлення льоду: 40 кг/c \nЕнергоспоживання : 375 KW / шматок \nБонус ефективності переробки мінералів УПМ: x140% \nЕфективність переробки рабочої маси: 20% \nМаса: 6,500 кг \nВиробник: Rusatom-Antonoff



SYSTEM_CARGO_AUX_PREPROC_MANUAL|Зменшує масу льоду в шматках на великій площі. \nПоповнює запаси рабочої маси. \nКратно підвищує ефективність УПМ. \nОбробляє кілька шматків руди одночасно. \nВимоги до потужності та швидкість обробки вказані для одного шматка. \nНе видобуває мінерали та не руйнує шматки.

SLOT_CARGO_MPU|Установка Перерорбки Мінералів


SYSTEM_CARGO_MPU_FURN|Rusatom-Antonoff УПМ Mk2

SYSTEM_CARGO_MPU_FURN_DESC|Цей варіант Марк-2 Установки з переробки мінералів Rusatom-Antonoff, який шахтарі лагідно називають "Гульпером", поєднує в собі найкращі якості свого попередника з вхідною манжетою і додатковими нагрівальними елементами, що підвищує загальну ефективність і продуктивність переробки за рахунок зменшення робочої зони.

SYSTEM_CARGO_MPU_FURN_SPECS|Потужність переробки: 25 кг/c \nЕнергоспоживання: 25 MW / шматок \nЕфективність переробки мінералів: 60% \nЕфективність переробки рабочої маси: 40% \nМаса: 3,000 кг \nВиробник: Rusatom-Antonoff


SYSTEM_CARGO_MPU_BULK|THI Bulker УПМ

SYSTEM_CARGO_MPU_BULK_DESC|"Bulker" УПМ компанії Titan Heavy Industries був представлений на ринку в середині 2200-х років, але отримав поширення серед енцеладських шахтарів лише після укладення торговельних угод у 2260-х роках. Його проста конструкція є класичним прикладом інженерного підходу THI "менше - це більше".\n\nВажкий і незручний для завантаження порівняно з іншими УПМ, Bulker унікальний тим, що має вбудовану ємність для зберігання. Внутрішні компоненти дрона THI-CC були вбудовані під зоною обробки; хоча бункери були зменшені в розмірі, вони все одно можуть значно збільшити місткість мінералів будь-якого судна, в якому вони встановлені.

SYSTEM_CARGO_MPU_BULK_SPECS|Місткість переробленого вантажу: 10,000 кг / мінерал (всього 60,000 кг ) \nПотужність переробки: 40 кг/c \nЕнергоспоживання: 100 MW / шматок \nЕфективність переробки мінералів: 70% \nЕфективність переробки рабочої маси: 20% \nМаса: 8,000 кг \nВиробник: Titan Heavy Industries


SYSTEM_CARGO_AUX_FAB|SSE Voyager Фабрикатор

SYSTEM_CARGO_AUX_FAB_DESC|Виготовлений на замовлення і повністю неліцензійний монстр від Sin Space Engineering, який став популярним серед шахтарів у 2260-х роках. Блок фабрикатора Voyager RSLS був вирваний і розміщений вище у вантажному відсіку, разом з невеликим об'ємом сховища мінералів, який замінив його спеціалізовані бункери для подачі. \n\nЧерез заміну шини живлення на розподільник нижчого класу слід очікувати помірних втрат енергоефективності порівняно зі стандартним блоком. \n\nЗастереження: Nakamura Dynamics не надає гарантії на цей пристрій і не визнає його частиною свого асортименту продукції, прямо чи опосередковано. Використання модифікованого обладнання може призвести до пошкоджень і становити несподівану небезпеку.

SYSTEM_CARGO_AUX_FAB_SPECS|Енергоспоживання фабрикатора: 120 MW \nРецепти фабрикатора: Деталі дронів, Боєприпаси \nМісткість переробленого вантажу: 2 000 кг / мінерал (всього 12 000 кг) \nМаса: 5,000 кг \nВиробник: Sin Space Engineering / Nakamura-Obonto



SYSTEM_CARGO_AUX_BIGFAB|RMS-PAL Фабрикатор

SYSTEM_CARGO_AUX_BIGFAB_DESC|Портативна виробнича лінія Rasamama Material Solutions - це справжнє диво автоматизації, що включає в себе два штучних інтелектів класу 1 (ARTEMIS і APOLLO), які контролюють роботу один одного в режимі суперництва. Її вражаюча швидкість виробництва повністю завдячує постійній ситуаційній оптимізації, а її великі вихідні бункери можуть бути підключені до внутрішніх магазинів суден як допоміжні одиниці зберігання витратних матеріалів. \n\nЗастереження: Технічні характеристики штучного інтелекту відповідають класу 1 відповідно до Лос-Анджелеської конвенції 2184 року. Ані ARTEMIS, ані APOLLO не призначені для того, щоб бути здатними до мислення або спілкування. Негайно повідомляйте про будь-яку ненормальну поведінку в ATLAS.

SYSTEM_CARGO_AUX_BIGFAB_SPECS|Енергоспоживання фабрикатора: 210 MW \nРецепти фабрикатора: Деталі дронів, Боєприпаси \nЄмність боєприпасів: 5,000 кг \nЄмність деталів дронів: 5,000 кг \nМаса: 10,500 кг \nВиробник: Rasamama Material Solutions



SYSTEM_CARGO_AUX_FAB_MANUAL|Для правильного використання потрібна Установка Переробки Мінералів. \nПасивно збільшує об'єм переробленого вантажу на борту. \nПерероблена руда зберігається в окремих контейнерах, місткість яких обмежена типом мінералу. \nВиробляє кінетичні боєприпаси із співвідношення заліза та ванадію 9:1. \nВиробляє компоненти нанодронів із співвідношення заліза та платини 4:1. \\nЗаймає місце у вантажному відсіку.

SYSTEM_MWTIGHTBEAM|Направлена Микрохвильова Гармата RA

SYSTEM_MWTIGHTBEAM_DESC|Направлена Мікрохвильова Гармата від Rusatom-Antonoff використовує довгий трубчастий хвильовод для концентрації мікрохвиль в щільний промінь випромінювання. Його модульні і непрофільовані компоненти є дешевими і швидко ремонтуються, але це компенсується високими витратами на встановлення і середньою енергоефективністю.

SYSTEM_MWTIGHTBEAM_SPECS|Ефективна дальність: 800 м \nЕнергоспоживання: 120 MW \nВихідна потужність: 90 MW \nДовжина хвилі: 1 см \nМаса: 400 кг \nВиробник: Rusatom-Antonoff


SYSTEM_MWTIGHTBEAM_PDT|Направлена Микрохвильова Гармата RA на турелі

SYSTEM_MWTIGHTBEAM_PDT_DESC|Ця версія Направленої Мікрохвильової Гармати від Rusatom-Antonoff встановлена на корпус турелі Nakamura Dynamics NDPT. Вона має схожі характеристики керування і можливості налаштування параметрів конфігурації з їхньою лінійкою точкових оборонних турелей 42xx, хоча її гімбальний привід зменшено для належного керування важкими кабелями змінного струму. \n\nНМГ-турель може автоматично захоплювати і відстежувати цілі, але, на відміну від свого колеги рейкотрона, не потребує ручного керування для ведення вогню.

SYSTEM_MWTIGHTBEAM_PDT_SPECS|Ефективна дальність: 800 м \nШІ наведення: Клас 1 \nЕнергоспоживання: 120 MW \nВихідна потужність: 90 MW \nДовжина хвилі: 1 см \nМаса: 3,000 кг \nВиробник: Rusatom

SYSTEM_TURBINE_20|Масив термопар

SYSTEM_TURBINE_20_DESC|Цей простий масив термопар використовує тепловий градієнт між реактором судна і робочим тілом для генерації електроенергії. В процесі незначна кількість реакційної маси викидається за борт.

SYSTEM_TURBINE_20_SPECS|Потужність (номінальна): 20 MW \nСпоживання робочої маси: 20 г/с \nМаса: 100 кг \nВиробник: Rusatom-Antonoff



SYSTEM_TURBINE_160|Ламінарна турбіна

SYSTEM_TURBINE_160_DESC|Ця енергоустановка для суден, що розщеплюють ядерну енергію, використовує міць німецької інженерії (і дизайн, оптимізований штучним інтелектом) для мінімізації турбулентності потоку і теплових втрат у чотириступеневій регенеративній турбінній установці.

SYSTEM_TURBINE_160_SPECS|Потужність (номінальна): 160 MW \nСпоживання робочої маси: 160 г/с \nМаса: 600 кг \nВиробник: Boltzmann Waermerkraftmaschinen



SYSTEM_TURBINE_320|Подвійна ламінарна турбіна

SYSTEM_TURBINE_320_DESC|Ця енергоустановка для суден, що розщеплюють ядерну енергію, використовує міць німецької інженерії (і дизайн, оптимізований штучним інтелектом) для мінімізації турбулентності потоку і теплових втрат у двох чотириступеневих регенеративних турбінних установках. Маса і тиск рівномірно розподіляються між ними за допомогою нового твердотільного корпусу клапана.

SYSTEM_TURBINE_320_SPECS|Потужність (номінальна): 320 MW \nСпоживання робочої маси: 320 г/с \nМаса: 1,200 кг \nВиробник: Boltzmann Waermerkraftmaschinen

SYSTEM_CAPACITOR_100|Легкий ультраконденсатор

SYSTEM_CAPACITOR_100_DESC|Графеновий фрактальний ультраконденсаторний циліндр для зберігання надлишкової енергії, що генерується, для доступності під час пікових навантажень. Компактний пристрій за розумною ціною.

SYSTEM_CAPACITOR_100_SPECS|Ємність: 100 MJ \nПікова віддача: 10 GW \nМаса: 400 кг  \nВиробник: Obonto Micro Engineering



SYSTEM_CAPACITOR_700|ND-iSMB

SYSTEM_CAPACITOR_700_DESC|Внутрішня надпровідна магнітна батарея від Nakamura Dynamics є альтернативним тимчасовим рішенням для зберігання енергії, запропонованим після успіху допоміжного енергоблоку NDAPS. Хоча батарея сильно екранована для запобігання впливу плазми реактивної маси на поле, її прямий інтерфейс з електричними шинами судна дозволяє досягати максимальних швидкостей розряду та зарядки з мінімальними втратами.

SYSTEM_CAPACITOR_700_SPECS|Ємність: 700 MJ \nПікова віддача: 10 GW \nМаса: 1,800 кг \nВиробник: Nakamura Dynamics


SYSTEM_CAPACITOR_1400|Здвоєний ND-iSMB

SYSTEM_CAPACITOR_1400_DESC|Два менших блоки iSMB, з'єднані за допомогою потужного балансувальника енергії. Завдяки цілеспрямованому допущенню взаємодій між двома магнітними полями, можна ефективніше зберігати більше енергії в меншому обладнанні.

SYSTEM_CAPACITOR_1400_SPECS|Ємність: 1,400 MJ \nПікова віддача: 10 GW \nМаса: 3,200 кг \nВиробник: Nakamura Dynamics

SYSTEM_AMMO_200|Обойма для боєприпасів

SYSTEM_AMMO_200_DESC|Набір розширювальних рейок для кінетичної зброї, здатний працювати з різними калібрами. Боєприпаси подаються за допомогою економічного приводу з рейкою та шестернею. Порти на основі дозволяють ручне та автоматичне перезарядження.

SYSTEM_AMMO_200_SPECS|Місткість: 200 кг \nШвидкість подачі: 100 кг/с \nВиробник: Rasamama Material Solutions

SLOT_CREW_MOD|Набори для житла
HUD_CREW_QUALITY|якість житла


SYSTEM_CREW_ADD_BUNK|Койка Conlido X1

SYSTEM_CREW_ADD_BUNK_DESC|Найпростіший і найдешевший комплект для розширення житла екіпажу, який можна купити за гроші, включає в себе одне настінне ліжко змішаної гравітації з основою з піни з ефектом пам'яті, базовими текстильними чохлами та пожежобезпечною ізоляцією. Вони напрочуд зручні, але відсутність приватної каюти, безсумнівно, стане предметом суперечок між членами екіпажу.  \n\nУправління станції нагадує капітанам, що правила вимагають мати принаймні втричі більше запасів, ніж заплановано, для кожного члена екіпажу на час екскурсій у кільця. Недотримання цього може призвести до штрафів від відповідних регулюючих органів.

SYSTEM_CREW_ADD_BUNK_SPECS|Місткість екіпажу: +1 \nЩоденне зниження морального духу екіпажу: +30% (дуже погано) \nВиробник: Conlido RVM


SYSTEM_CREW_ADD_BUNK2|Койка Conlido X2

SYSTEM_CREW_ADD_BUNK2_DESC|Ще один, в тій самій коробці! X2 - це, по суті, два блоки X1, що поставляються в набагато ефективнішій конфігурації, але на цьому його переваги закінчуються.  \n\nБільшість потенційних наймачів відвернулися б, побачивши одну таку установку на судні, не кажучи вже про дві. Незважаючи на це, вони, безумовно, є варіантом для збільшення місткості екіпажу, і часто використовуються на невеликих міжмісячних транзитних суднах, де об'єм і зручність важливіші, ніж комфорт пасажирів.

SYSTEM_CREW_ADD_BUNK2_SPECS|Місткість екіпажу: +2 \nЩоденне зниження морального духу екіпажу: +40% (дуже погано) \nВиробник: Conlido RVM



SYSTEM_CREW_ADD_CAPSULE|Житлові капсули Runasimi

SYSTEM_CREW_ADD_CAPSULE_DESC|Варіант Runasimi на ринку житла для екіпажу став своєрідною основою в сегменті недорогого гостинного обладнання. Він складається з легкого, герметичного блоку з двома внутрішніми капсульними ліжками, базовим вбудованим туалетом та місцем для зберігання речей екіпажу та провізії. Внутрішній резервуар з киснем та стійки для скафандрів забезпечують захист екіпажу від негайного виведення з ладу у випадку розгерметизації корпусу під час відпочинку. \n\nСкафандри продаються окремо. Регулярно перевіряйте тиск у резервуарі та проводьте перевірку герметичності, як зазначено в інструкції, щонайменше раз на тиждень. Runasimi Inc. не несе відповідальності за пошкодження, спричинені неналежним обслуговуванням обладнання.
SYSTEM_CREW_ADD_CAPSULE_SPECS|Місткість екіпажу: +2 \nЩоденне зниження морального духу екіпажу: +25% (погано) \nВиробник: Runasimi Inc.


SYSTEM_CREW_ADD_MANUAL|Збільшує або зменшує загальну місткість екіпажу. \nЗбільшує або зменшує щоденне зниження морального духу екіпажу під час експлуатації. \nНезадоволений екіпаж може призвести до гірших результатів експлуатації. \nНе вимагає енергії чи тепла реактора.

SYSTEM_CREW_MOD_HOME|Оновлення Conlido mgHome

SYSTEM_CREW_MOD_HOME_DESC|Conlido's mgHome - це простий модульний набір, орієнтований на сімейні судна і легкі транспорти. Він включає спільну багатоканальну розважальну систему для кают екіпажу, розділений холодильник і вдосконалений блок приготування їжі для камбуза, а також кілька налаштувань для санвузла, таких як душова головка з декількома режимами і туалетна подушка з ефектом пам'яті. \n\nПримітка: розпилювач душової головки не підходить для використання в умовах невагомості. Для кращих результатів не мийте поверхні або подушки засобами для чищення на основі відбілювача.

SYSTEM_CREW_MOD_HOME_SPECS|Щоденне зниження морального духу екіпажу: -10% (добре) \nВиробник: Conlido RVM


SYSTEM_CREW_MOD_KMX|Модернізація Antonoff KMX

SYSTEM_CREW_MOD_KMX_DESC|Antonoff KMX рекламується як система комфорту для тривалих польотів, призначена для екіпажів міжмісячних вантажних суден та пасажирських кораблів. \n\nЗ повною системою рециркуляції води, низкою вдосконалень камбузу, туалету та зони відпочинку (і модифікацією для їх встановлення на більшості поширених моделях суден, якщо вони відсутні), а також дихаючою оббивкою для більшості стандартних сидінь, екіпажі зазвичай вважають польоти з модернізацією KMX кращими, ніж без неї.

SYSTEM_CREW_MOD_KMX_SPECS|Щоденне зниження морального духу екіпажу: -20% (добре) \nВиробник: Antonoff



SYSTEM_CREW_MOD_OCM|Модернізація OCM-36

